@relation bookkeeper3Testing-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.2.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.0,0,0,215,0,0,0,0,0,0,No
4.2.0,0,0,271,0,0,0,0,0,0,Yes
4.2.0,1,1,458,14,14,14,7,7,7,Yes
4.2.0,0,0,137,0,0,0,0,0,0,Yes
4.2.0,1,1,357,15,15,15,11,11,11,Yes
4.2.0,17,3,1242,635,37,175,510,30,153,Yes
4.2.0,0,0,51,0,0,0,0,0,0,No
4.2.0,1,1,154,5,5,5,4,4,4,Yes
4.2.0,0,0,31,0,0,0,0,0,0,No
4.2.0,5,3,928,945,189,684,938,187,684,No
4.2.0,0,0,180,0,0,0,0,0,0,No
4.2.0,3,2,260,101,33,88,64,21,61,Yes
4.2.0,6,3,551,123,20,62,78,13,43,Yes
4.2.0,0,0,40,0,0,0,0,0,0,No
4.2.0,3,1,361,109,36,63,106,35,62,Yes
4.2.0,2,2,388,18,9,11,9,4,6,Yes
4.2.0,1,1,51,51,51,51,51,51,51,No
4.2.0,7,3,577,122,17,67,76,10,59,No
4.2.0,0,0,32,0,0,0,0,0,0,No
4.2.0,0,0,66,0,0,0,0,0,0,No
4.2.0,8,2,188,41,5,13,37,4,18,Yes
4.2.0,6,3,582,30,5,10,18,3,7,No
4.2.0,1,1,158,2,2,2,0,0,0,Yes
4.2.0,1,1,50,4,4,4,4,4,4,No
4.2.0,0,0,27,0,0,0,0,0,0,No
4.2.0,9,2,928,207,23,93,150,16,72,Yes
4.2.0,0,0,60,0,0,0,0,0,0,No
4.2.0,1,1,62,2,2,2,0,0,0,No
4.2.0,1,1,87,4,4,4,1,1,1,No
4.2.0,1,1,52,1,1,1,0,0,0,No
4.2.0,3,2,268,270,90,240,268,89,240,Yes
4.2.0,0,0,163,0,0,0,0,0,0,No
4.2.0,1,1,109,19,19,19,18,18,18,No
4.2.0,0,0,147,0,0,0,0,0,0,No
4.2.0,2,1,58,59,29,58,58,29,58,No
4.2.0,1,1,44,44,44,44,44,44,44,No
4.2.0,1,1,108,108,108,108,108,108,108,Yes
4.2.0,0,0,139,0,0,0,0,0,0,No
4.2.0,4,1,326,44,11,11,44,11,11,Yes
4.2.0,10,3,648,121,12,73,104,10,66,Yes
4.2.0,13,3,778,319,24,101,330,25,145,Yes
4.2.0,3,2,314,122,40,111,102,34,99,Yes
4.2.0,0,0,55,0,0,0,0,0,0,No
4.2.0,1,1,191,7,7,7,7,7,7,No
4.2.0,2,1,90,38,19,25,25,12,14,No
4.2.0,4,1,273,285,71,274,281,70,274,No
4.2.0,4,2,137,16,4,9,19,4,15,No
4.2.0,3,2,79,13,4,6,6,2,4,No
4.2.0,1,1,82,0,0,0,2,2,2,No
4.2.0,5,2,147,168,33,112,147,29,112,No
4.2.0,4,1,422,517,129,298,422,105,298,No
4.2.0,12,3,978,338,28,164,185,15,91,Yes
4.2.0,9,3,467,273,30,154,181,20,102,Yes
4.2.0,3,2,189,56,18,42,60,20,38,No
4.2.0,2,2,153,2,1,1,0,0,0,Yes
4.2.0,0,0,84,0,0,0,0,0,0,Yes
4.2.0,5,3,182,60,12,42,55,11,34,Yes
4.2.0,12,3,358,438,36,139,425,35,122,Yes
4.2.0,3,2,126,9,3,4,1,0,1,No
4.2.0,2,1,106,31,15,28,27,13,27,No
4.2.0,2,1,109,36,18,30,19,9,15,No
4.2.0,0,0,85,0,0,0,0,0,0,No
4.2.0,5,2,236,127,25,54,129,25,54,No
4.2.0,4,1,314,74,18,36,110,27,36,Yes
4.2.0,6,3,694,153,25,50,145,24,50,Yes
